"","state","x0_13","x14_15","x16_17","x18_20","x21","total_reported","year"
"520","Total",1509672,457201,435881,426636,414914,408903,2018
"521","Alabama",5344,317,163,133,46,6003,2019
"522","Alaska",1202,64,NA,NA,0,1269,2019
"523","Arizona",11927,496,261,245,168,13097,2019
"524","Arkansas",2606,150,82,97,28,2963,2019
"525","Colorado",8367,198,150,110,173,8998,2019
"526","Connecticut",8148,263,175,164,95,8845,2019
"527","Delaware",1935,73,16,6,9,2039,2019
"528","Florida",69334,973,691,699,217,71914,2019
"529","Georgia",34346,927,653,752,229,36907,2019
"530","Hawaii",1807,80,43,49,22,2001,2019
"531","Idaho",1457,37,NA,NA,NA,1500,2019
"532","Indiana",7597,9,8,17,6,7637,2019
"533","Iowa",3369,68,58,54,17,3566,2019
"534","Kansas",6404,195,121,137,37,6894,2019
"535","Kentucky",3345,116,65,109,29,3664,2019
"536","Louisiana",7656,273,173,38,0,8140,2019
"537","Maine",1908,48,33,31,0,2020,2019
"538","Michigan",24567,1110,667,584,353,27281,2019
"539","Minnesota",8823,379,194,216,187,9799,2019
"540","Mississippi",3006,171,16,NA,NA,3194,2019
"541","Missouri",1087,130,87,112,55,1471,2019
"542","Montana",1438,51,34,34,11,1568,2019
"543","Nebraska",1943,62,46,16,0,2067,2019
"544","Nevada",7802,250,142,89,52,8335,2019
"545","New Jersey",18935,961,638,613,514,21661,2019
"546","New Mexico",2825,80,73,101,406,3485,2019
"547","New York City",45522,1335,897,934,1096,49784,2019
"548","North Carolina",26128,982,672,484,15,28281,2019
"549","North Dakota",1062,42,17,0,0,1121,2019
"550","Ohio",18151,848,531,477,95,20102,2019
"551","Oklahoma",4722,125,64,64,16,4991,2019
"552","Oregon",7937,241,129,149,160,8616,2019
"553","Rhode Island",1904,90,52,32,13,2091,2019
"554","South Carolina",4773,298,8,13,9,5101,2019
"555","South Dakota",291,NA,0,NA,7,409,2019
"556","Tennessee",8963,436,176,119,9,9703,2019
"557","Texas",53309,1870,957,838,301,57275,2019
"558","Utah",2681,92,51,67,31,2922,2019
"559","Vermont",1102,32,21,22,18,1195,2019
"560","Virginia",15070,121,131,170,90,15582,2019
"561","Washington",15875,420,265,273,363,17196,2019
"562","West Virginia",1096,58,18,NA,NA,1183,2019
"563","Wyoming",33,NA,0,0,0,31,2019
"564","Total",455903,14471,8581,8064,4882,491901,2019
