"Notes"	"State"	"State Code"	"Year"	"Year Code"	Births	Total Population	Birth Rate
	"Nebraska"	"31"	"2014"	"2014"	26794	1881503	14.24074
	"Nebraska"	"31"	"2015"	"2015"	26679	1896190	14.06979
	"Nebraska"	"31"	"2016"	"2016"	26589	1907116	13.94199
	"Nebraska"	"31"	"2017"	"2017"	25821	1920076	13.44791
	"Nebraska"	"31"	"2018"	"2018"	25488	1929268	13.21123
	"Nebraska"	"31"	"2019"	"2019"	24755	1934408	12.79720
	"Nebraska"	"31"	"2020"	"2020"	24291	1937552	12.53695
"Total"	"Nebraska"	"31"			364951	26191637	13.93388
	"Nevada"	"32"	"2007"	"2007"	41181	2601072	15.83232
	"Nevada"	"32"	"2008"	"2008"	39506	2653630	14.88753
	"Nevada"	"32"	"2009"	"2009"	37612	2684665	14.00994
	"Nevada"	"32"	"2010"	"2010"	35934	2700551	13.30617
	"Nevada"	"32"	"2011"	"2011"	35296	2723322	12.96064
	"Nevada"	"32"	"2012"	"2012"	34911	2758931	12.65381
	"Nevada"	"32"	"2013"	"2013"	35030	2790136	12.55494
	"Nevada"	"32"	"2014"	"2014"	35861	2839099	12.63112
	"Nevada"	"32"	"2015"	"2015"	36298	2890845	12.55619
	"Nevada"	"32"	"2016"	"2016"	36260	2940058	12.33309
	"Nevada"	"32"	"2017"	"2017"	35756	2998039	11.92646
	"Nevada"	"32"	"2018"	"2018"	35682	3034392	11.75919
	"Nevada"	"32"	"2019"	"2019"	35072	3080156	11.38644
	"Nevada"	"32"	"2020"	"2020"	33653	3138259	10.72346
"Total"	"Nevada"	"32"			508052	39833155	12.75450
	"New Hampshire"	"33"	"2007"	"2007"	14168	1312540	10.79434
	"New Hampshire"	"33"	"2008"	"2008"	13683	1315906	10.39816
	"New Hampshire"	"33"	"2009"	"2009"	13377	1316102	10.16411
	"New Hampshire"	"33"	"2010"	"2010"	12874	1316470	9.77918
	"New Hampshire"	"33"	"2011"	"2011"	12851	1318194	9.74894
	"New Hampshire"	"33"	"2012"	"2012"	12352	1320718	9.35249
	"New Hampshire"	"33"	"2013"	"2013"	12396	1323459	9.36636
	"New Hampshire"	"33"	"2014"	"2014"	12302	1326813	9.27184
	"New Hampshire"	"33"	"2015"	"2015"	12433	1330608	9.34385
	"New Hampshire"	"33"	"2016"	"2016"	12267	1334795	9.19018
	"New Hampshire"	"33"	"2017"	"2017"	12116	1342795	9.02297
	"New Hampshire"	"33"	"2018"	"2018"	11995	1356458	8.84288
	"New Hampshire"	"33"	"2019"	"2019"	11839	1359711	8.70700
	"New Hampshire"	"33"	"2020"	"2020"	11791	1366275	8.63003
"Total"	"New Hampshire"	"33"			176444	18640844	9.46545
	"New Jersey"	"34"	"2007"	"2007"	116063	8677885	13.37457
	"New Jersey"	"34"	"2008"	"2008"	112710	8711090	12.93868
	"New Jersey"	"34"	"2009"	"2009"	110331	8755602	12.60119
	"New Jersey"	"34"	"2010"	"2010"	106922	8791894	12.16143
	"New Jersey"	"34"	"2011"	"2011"	105883	8821155	12.00330
	"New Jersey"	"34"	"2012"	"2012"	104230	8864590	11.75802
	"New Jersey"	"34"	"2013"	"2013"	102575	8899339	11.52614
	"New Jersey"	"34"	"2014"	"2014"	103305	8938175	11.55773
	"New Jersey"	"34"	"2015"	"2015"	103127	8958013	11.51226
	"New Jersey"	"34"	"2016"	"2016"	102647	8944469	11.47603
	"New Jersey"	"34"	"2017"	"2017"	101250	9005644	11.24295
	"New Jersey"	"34"	"2018"	"2018"	101223	8908520	11.36249
	"New Jersey"	"34"	"2019"	"2019"	99585	8882190	11.21176
	"New Jersey"	"34"	"2020"	"2020"	97954	8882371	11.02791
"Total"	"New Jersey"	"34"			1467805	124040937	11.83323
	"New Mexico"	"35"	"2007"	"2007"	30616	1990070	15.38438
	"New Mexico"	"35"	"2008"	"2008"	30173	2010662	15.00650
	"New Mexico"	"35"	"2009"	"2009"	29000	2036802	14.23801
	"New Mexico"	"35"	"2010"	"2010"	27850	2059179	13.52481
	"New Mexico"	"35"	"2011"	"2011"	27289	2082224	13.10570
	"New Mexico"	"35"	"2012"	"2012"	27068	2085538	12.97891
	"New Mexico"	"35"	"2013"	"2013"	26354	2085287	12.63807
	"New Mexico"	"35"	"2014"	"2014"	26052	2085572	12.49154
	"New Mexico"	"35"	"2015"	"2015"	25816	2085109	12.38113
	"New Mexico"	"35"	"2016"	"2016"	24692	2081015	11.86536
	"New Mexico"	"35"	"2017"	"2017"	23767	2088070	11.38228
	"New Mexico"	"35"	"2018"	"2018"	23039	2095428	10.99489
	"New Mexico"	"35"	"2019"	"2019"	22960	2096829	10.94987
	"New Mexico"	"35"	"2020"	"2020"	21903	2106319	10.39871
"Total"	"New Mexico"	"35"			366579	28988104	12.64584
	"New York"	"36"	"2007"	"2007"	253451	19132335	13.24726
	"New York"	"36"	"2008"	"2008"	250383	19212436	13.03234
	"New York"	"36"	"2009"	"2009"	248110	19307066	12.85074
	"New York"	"36"	"2010"	"2010"	244375	19378102	12.61088
	"New York"	"36"	"2011"	"2011"	241312	19465197	12.39710
	"New York"	"36"	"2012"	"2012"	240916	19570261	12.31031
	"New York"	"36"	"2013"	"2013"	236980	19651127	12.05936
	"New York"	"36"	"2014"	"2014"	238773	19746227	12.09208
	"New York"	"36"	"2015"	"2015"	237274	19795791	11.98608
	"New York"	"36"	"2016"	"2016"	234283	19745289	11.86526
	"New York"	"36"	"2017"	"2017"	229737	19849399	11.57400
	"New York"	"36"	"2018"	"2018"	226238	19542209	11.57689
	"New York"	"36"	"2019"	"2019"	221539	19453561	11.38809
	"New York"	"36"	"2020"	"2020"	209338	19336776	10.82590
"Total"	"New York"	"36"			3312709	273185776	12.12621
	"North Carolina"	"37"	"2007"	"2007"	131037	9118037	14.37119
	"North Carolina"	"37"	"2008"	"2008"	130839	9309449	14.05443
	"North Carolina"	"37"	"2009"	"2009"	126845	9449566	13.42337
	"North Carolina"	"37"	"2010"	"2010"	122350	9535483	12.83102
	"North Carolina"	"37"	"2011"	"2011"	120389	9656401	12.46727
	"North Carolina"	"37"	"2012"	"2012"	119831	9752073	12.28775
	"North Carolina"	"37"	"2013"	"2013"	119002	9848060	12.08380
	"North Carolina"	"37"	"2014"	"2014"	120975	9943964	12.16567
	"North Carolina"	"37"	"2015"	"2015"	120843	10042802	12.03280
	"North Carolina"	"37"	"2016"	"2016"	120779	10146788	11.90318
	"North Carolina"	"37"	"2017"	"2017"	120125	10273419	11.69280
	"North Carolina"	"37"	"2018"	"2018"	118954	10383620	11.45593
	"North Carolina"	"37"	"2019"	"2019"	118725	10488084	11.31999
	"North Carolina"	"37"	"2020"	"2020"	116730	10600823	11.01141
"Total"	"North Carolina"	"37"			1707424	138548569	12.32365
	"North Dakota"	"38"	"2007"	"2007"	8840	652822	13.54121
	"North Dakota"	"38"	"2008"	"2008"	8938	657569	13.59249
	"North Dakota"	"38"	"2009"	"2009"	9001	664968	13.53599
	"North Dakota"	"38"	"2010"	"2010"	9104	672591	13.53571
	"North Dakota"	"38"	"2011"	"2011"	9527	683932	13.92975
	"North Dakota"	"38"	"2012"	"2012"	10106	699628	14.44482
	"North Dakota"	"38"	"2013"	"2013"	10599	723393	14.65179
	"North Dakota"	"38"	"2014"	"2014"	11359	739482	15.36075
	"North Dakota"	"38"	"2015"	"2015"	11314	756927	14.94728
	"North Dakota"	"38"	"2016"	"2016"	11383	757952	15.01810
	"North Dakota"	"38"	"2017"	"2017"	10737	755393	14.21379
	"North Dakota"	"38"	"2018"	"2018"	10636	760077	13.99332
	"North Dakota"	"38"	"2019"	"2019"	10454	762062	13.71804
	"North Dakota"	"38"	"2020"	"2020"	10059	765309	13.14371
"Total"	"North Dakota"	"38"			142057	10052105	14.13206
	"Ohio"	"39"	"2007"	"2007"	150879	11500468	13.11938
	"Ohio"	"39"	"2008"	"2008"	148821	11515391	12.92366
	"Ohio"	"39"	"2009"	"2009"	144841	11528896	12.56330
	"Ohio"	"39"	"2010"	"2010"	139128	11536504	12.05981
	"Ohio"	"39"	"2011"	"2011"	137918	11544951	11.94617
	"Ohio"	"39"	"2012"	"2012"	138483	11544225	11.99587
	"Ohio"	"39"	"2013"	"2013"	138936	11570808	12.00746
	"Ohio"	"39"	"2014"	"2014"	139467	11594163	12.02907
	"Ohio"	"39"	"2015"	"2015"	139264	11613423	11.99164
	"Ohio"	"39"	"2016"	"2016"	138085	11614373	11.88915
	"Ohio"	"39"	"2017"	"2017"	136832	11658609	11.73656
	"Ohio"	"39"	"2018"	"2018"	135134	11689442	11.56035
	"Ohio"	"39"	"2019"	"2019"	134461	11689100	11.50311
	"Ohio"	"39"	"2020"	"2020"	129191	11693217	11.04837
"Total"	"Ohio"	"39"			1951440	162293570	12.02414
	"Oklahoma"	"40"	"2007"	"2007"	55065	3634349	15.15127
	"Oklahoma"	"40"	"2008"	"2008"	54781	3668976	14.93087
	"Oklahoma"	"40"	"2009"	"2009"	54553	3717572	14.67436
	"Oklahoma"	"40"	"2010"	"2010"	53238	3751351	14.19169
	"Oklahoma"	"40"	"2011"	"2011"	52272	3791508	13.78660
	"Oklahoma"	"40"	"2012"	"2012"	52751	3814820	13.82791
	"Oklahoma"	"40"	"2013"	"2013"	53369	3850568	13.86003
	"Oklahoma"	"40"	"2014"	"2014"	53339	3878051	13.75407
	"Oklahoma"	"40"	"2015"	"2015"	53122	3911338	13.58154
	"Oklahoma"	"40"	"2016"	"2016"	52592	3923561	13.40415
	"Oklahoma"	"40"	"2017"	"2017"	50214	3930864	12.77429
	"Oklahoma"	"40"	"2018"	"2018"	49800	3943079	12.62972
	"Oklahoma"	"40"	"2019"	"2019"	49143	3956971	12.41935
	"Oklahoma"	"40"	"2020"	"2020"	47623	3980783	11.96322
"Total"	"Oklahoma"	"40"			731862	53753791	13.61508
	"Oregon"	"41"	"2007"	"2007"	49378	3722417	13.26504
	"Oregon"	"41"	"2008"	"2008"	49096	3768748	13.02714
	"Oregon"	"41"	"2009"	"2009"	47132	3808600	12.37515
	"Oregon"	"41"	"2010"	"2010"	45540	3831074	11.88701
	"Oregon"	"41"	"2011"	"2011"	45155	3871859	11.66236
	"Oregon"	"41"	"2012"	"2012"	45067	3899353	11.55756
	"Oregon"	"41"	"2013"	"2013"	45155	3930065	11.48963
	"Oregon"	"41"	"2014"	"2014"	45556	3970239	11.47437
	"Oregon"	"41"	"2015"	"2015"	45655	4028977	11.33166
	"Oregon"	"41"	"2016"	"2016"	45535	4093465	11.12383
	"Oregon"	"41"	"2017"	"2017"	43631	4142776	10.53183
	"Oregon"	"41"	"2018"	"2018"	42188	4190713	10.06702
	"Oregon"	"41"	"2019"	"2019"	41858	4217737	9.92428
	"Oregon"	"41"	"2020"	"2020"	39820	4241507	9.38817
"Total"	"Oregon"	"41"			630766	55717530	11.32078
	"Pennsylvania"	"42"	"2007"	"2007"	150713	12563937	11.99568
	"Pennsylvania"	"42"	"2008"	"2008"	149273	12612285	11.83552
	"Pennsylvania"	"42"	"2009"	"2009"	146434	12666858	11.56040
	"Pennsylvania"	"42"	"2010"	"2010"	143321	12702379	11.28300
	"Pennsylvania"	"42"	"2011"	"2011"	143178	12742886	11.23592
	"Pennsylvania"	"42"	"2012"	"2012"	142514	12763536	11.16571
	"Pennsylvania"	"42"	"2013"	"2013"	140921	12773801	11.03203
	"Pennsylvania"	"42"	"2014"	"2014"	142268	12787209	11.12581
	"Pennsylvania"	"42"	"2015"	"2015"	141047	12802503	11.01714
	"Pennsylvania"	"42"	"2016"	"2016"	139409	12784227	10.90477
	"Pennsylvania"	"42"	"2017"	"2017"	137745	12805537	10.75668
	"Pennsylvania"	"42"	"2018"	"2018"	135673	12807060	10.59361
	"Pennsylvania"	"42"	"2019"	"2019"	134230	12801989	10.48509
	"Pennsylvania"	"42"	"2020"	"2020"	130693	12783254	10.22377
"Total"	"Pennsylvania"	"42"			1977419	178397461	11.08434
	"Rhode Island"	"44"	"2007"	"2007"	12376	1057315	11.70512
	"Rhode Island"	"44"	"2008"	"2008"	12048	1055003	11.41987
	"Rhode Island"	"44"	"2009"	"2009"	11442	1053646	10.85943
	"Rhode Island"	"44"	"2010"	"2010"	11177	1052567	10.61880
	"Rhode Island"	"44"	"2011"	"2011"	10960	1051302	10.42517
	"Rhode Island"	"44"	"2012"	"2012"	10926	1050292	10.40282
	"Rhode Island"	"44"	"2013"	"2013"	10809	1051511	10.27949
	"Rhode Island"	"44"	"2014"	"2014"	10823	1055173	10.25709
	"Rhode Island"	"44"	"2015"	"2015"	10993	1056298	10.40710
	"Rhode Island"	"44"	"2016"	"2016"	10798	1056426	10.22126
	"Rhode Island"	"44"	"2017"	"2017"	10638	1059639	10.03927
	"Rhode Island"	"44"	"2018"	"2018"	10506	1057315	9.93649
	"Rhode Island"	"44"	"2019"	"2019"	10175	1059361	9.60485
	"Rhode Island"	"44"	"2020"	"2020"	10101	1057125	9.55516
"Total"	"Rhode Island"	"44"			153772	14772973	10.40901
	"South Carolina"	"45"	"2007"	"2007"	62875	4444110	14.14794
	"South Carolina"	"45"	"2008"	"2008"	63071	4528996	13.92604
	"South Carolina"	"45"	"2009"	"2009"	60620	4589872	13.20734
	"South Carolina"	"45"	"2010"	"2010"	58342	4625364	12.61349
	"South Carolina"	"45"	"2011"	"2011"	57393	4679230	12.26548
	"South Carolina"	"45"	"2012"	"2012"	57155	4723723	12.09957
	"South Carolina"	"45"	"2013"	"2013"	56795	4774839	11.89464
	"South Carolina"	"45"	"2014"	"2014"	57627	4832482	11.92493
	"South Carolina"	"45"	"2015"	"2015"	58139	4896146	11.87444
	"South Carolina"	"45"	"2016"	"2016"	57342	4961119	11.55828
	"South Carolina"	"45"	"2017"	"2017"	57029	5024369	11.35048
	"South Carolina"	"45"	"2018"	"2018"	56669	5084127	11.14626
	"South Carolina"	"45"	"2019"	"2019"	57038	5148714	11.07811
	"South Carolina"	"45"	"2020"	"2020"	55704	5218040	10.67527
"Total"	"South Carolina"	"45"			815799	67531131	12.08034
	"South Dakota"	"46"	"2007"	"2007"	12261	791623	15.48843
	"South Dakota"	"46"	"2008"	"2008"	12071	799124	15.10529
	"South Dakota"	"46"	"2009"	"2009"	11934	807067	14.78688
	"South Dakota"	"46"	"2010"	"2010"	11811	814180	14.50662
	"South Dakota"	"46"	"2011"	"2011"	11846	824082	14.37478
	"South Dakota"	"46"	"2012"	"2012"	12104	833354	14.52444
	"South Dakota"	"46"	"2013"	"2013"	12248	844877	14.49678
	"South Dakota"	"46"	"2014"	"2014"	12283	853175	14.39681
	"South Dakota"	"46"	"2015"	"2015"	12336	858469	14.36977
	"South Dakota"	"46"	"2016"	"2016"	12275	865454	14.18331
	"South Dakota"	"46"	"2017"	"2017"	12134	869666	13.95248
	"South Dakota"	"46"	"2018"	"2018"	11893	882235	13.48054
	"South Dakota"	"46"	"2019"	"2019"	11449	884659	12.94171
	"South Dakota"	"46"	"2020"	"2020"	10960	892717	12.27713
"Total"	"South Dakota"	"46"			167605	11820682	14.17896
	"Tennessee"	"47"	"2007"	"2007"	86711	6175727	14.04061
	"Tennessee"	"47"	"2008"	"2008"	85560	6247411	13.69527
	"Tennessee"	"47"	"2009"	"2009"	82211	6306019	13.03691
	"Tennessee"	"47"	"2010"	"2010"	79495	6346105	12.52658
	"Tennessee"	"47"	"2011"	"2011"	79588	6403353	12.42911
	"Tennessee"	"47"	"2012"	"2012"	80371	6456243	12.44857
	"Tennessee"	"47"	"2013"	"2013"	79992	6495978	12.31408
	"Tennessee"	"47"	"2014"	"2014"	81602	6549352	12.45955
	"Tennessee"	"47"	"2015"	"2015"	81685	6600299	12.37595
	"Tennessee"	"47"	"2016"	"2016"	80807	6651194	12.14925
	"Tennessee"	"47"	"2017"	"2017"	81016	6715984	12.06316
	"Tennessee"	"47"	"2018"	"2018"	80751	6770010	11.92775
	"Tennessee"	"47"	"2019"	"2019"	80450	6829174	11.78034
	"Tennessee"	"47"	"2020"	"2020"	78689	6886834	11.42601
"Total"	"Tennessee"	"47"			1138928	91433683	12.45633
	"Texas"	"48"	"2007"	"2007"	407625	23831983	17.10412
	"Texas"	"48"	"2008"	"2008"	405554	24309039	16.68326
	"Texas"	"48"	"2009"	"2009"	401977	24801761	16.20760
	"Texas"	"48"	"2010"	"2010"	386118	25145561	15.35531
	"Texas"	"48"	"2011"	"2011"	377445	25674681	14.70106
	"Texas"	"48"	"2012"	"2012"	382727	26059203	14.68683
	"Texas"	"48"	"2013"	"2013"	387340	26448193	14.64523
	"Texas"	"48"	"2014"	"2014"	399766	26956958	14.82979
	"Texas"	"48"	"2015"	"2015"	403618	27469114	14.69352
	"Texas"	"48"	"2016"	"2016"	398047	27862596	14.28607
	"Texas"	"48"	"2017"	"2017"	382050	28304596	13.49781
	"Texas"	"48"	"2018"	"2018"	378624	28701845	13.19163
	"Texas"	"48"	"2019"	"2019"	377599	28995881	13.02250
	"Texas"	"48"	"2020"	"2020"	368190	29360759	12.54021
"Total"	"Texas"	"48"			5456680	373922170	14.59309
	"Utah"	"49"	"2007"	"2007"	55130	2597746	21.22224
	"Utah"	"49"	"2008"	"2008"	55634	2663029	20.89125
	"Utah"	"49"	"2009"	"2009"	53887	2723421	19.78651
	"Utah"	"49"	"2010"	"2010"	52258	2763885	18.90744
	"Utah"	"49"	"2011"	"2011"	51223	2817222	18.18210
	"Utah"	"49"	"2012"	"2012"	51465	2855287	18.02446
	"Utah"	"49"	"2013"	"2013"	50957	2900872	17.56610
	"Utah"	"49"	"2014"	"2014"	51154	2942902	17.38216
	"Utah"	"49"	"2015"	"2015"	50778	2995919	16.94906
	"Utah"	"49"	"2016"	"2016"	50464	3051217	16.53897
	"Utah"	"49"	"2017"	"2017"	48585	3101833	15.66332
	"Utah"	"49"	"2018"	"2018"	47209	3161105	14.93433
	"Utah"	"49"	"2019"	"2019"	46826	3205958	14.60593
	"Utah"	"49"	"2020"	"2020"	45702	3249879	14.06268
"Total"	"Utah"	"49"			711272	41030275	17.33530
	"Vermont"	"50"	"2007"	"2007"	6513	623481	10.44619
	"Vermont"	"50"	"2008"	"2008"	6339	624151	10.15620
	"Vermont"	"50"	"2009"	"2009"	6110	624817	9.77886
	"Vermont"	"50"	"2010"	"2010"	6223	625741	9.94501
	"Vermont"	"50"	"2011"	"2011"	6078	626431	9.70258
	"Vermont"	"50"	"2012"	"2012"	6009	626011	9.59887
	"Vermont"	"50"	"2013"	"2013"	5975	626630	9.53513
	"Vermont"	"50"	"2014"	"2014"	6130	626562	9.78355
	"Vermont"	"50"	"2015"	"2015"	5903	626042	9.42908
	"Vermont"	"50"	"2016"	"2016"	5756	624594	9.21559
	"Vermont"	"50"	"2017"	"2017"	5655	623657	9.06748
	"Vermont"	"50"	"2018"	"2018"	5432	626299	8.67317
	"Vermont"	"50"	"2019"	"2019"	5361	623989	8.59150
	"Vermont"	"50"	"2020"	"2020"	5133	623347	8.23458
"Total"	"Vermont"	"50"			82617	8751752	9.44005
	"Virginia"	"51"	"2007"	"2007"	108884	7751000	14.04774
	"Virginia"	"51"	"2008"	"2008"	106686	7833496	13.61921
	"Virginia"	"51"	"2009"	"2009"	105059	7925937	13.25509
	"Virginia"	"51"	"2010"	"2010"	103002	8001024	12.87360
	"Virginia"	"51"	"2011"	"2011"	102652	8096604	12.67840
	"Virginia"	"51"	"2012"	"2012"	103013	8185867	12.58425
	"Virginia"	"51"	"2013"	"2013"	102147	8260405	12.36586
	"Virginia"	"51"	"2014"	"2014"	103300	8326289	12.40649
	"Virginia"	"51"	"2015"	"2015"	103303	8382993	12.32293
	"Virginia"	"51"	"2016"	"2016"	102460	8411808	12.18050
	"Virginia"	"51"	"2017"	"2017"	100391	8470020	11.85251
	"Virginia"	"51"	"2018"	"2018"	99843	8517685	11.72185
	"Virginia"	"51"	"2019"	"2019"	97429	8535519	11.41454
	"Virginia"	"51"	"2020"	"2020"	94749	8590563	11.02943
"Total"	"Virginia"	"51"			1432918	115289210	12.42890
	"Washington"	"53"	"2007"	"2007"	88978	6461587	13.77030
	"Washington"	"53"	"2008"	"2008"	90321	6562231	13.76376
	"Washington"	"53"	"2009"	"2009"	89313	6667426	13.39542
	"Washington"	"53"	"2010"	"2010"	86539	6724540	12.86913
	"Washington"	"53"	"2011"	"2011"	86976	6830038	12.73434
	"Washington"	"53"	"2012"	"2012"	87463	6897012	12.68129
	"Washington"	"53"	"2013"	"2013"	86577	6971406	12.41887
	"Washington"	"53"	"2014"	"2014"	88585	7061530	12.54473
	"Washington"	"53"	"2015"	"2015"	88990	7170351	12.41083
	"Washington"	"53"	"2016"	"2016"	90505	7288000	12.41836
	"Washington"	"53"	"2017"	"2017"	87562	7405743	11.82353
	"Washington"	"53"	"2018"	"2018"	86085	7535591	11.42379
	"Washington"	"53"	"2019"	"2019"	84895	7614893	11.14855
	"Washington"	"53"	"2020"	"2020"	83086	7693612	10.79935
"Total"	"Washington"	"53"			1225875	98883960	12.39711
	"West Virginia"	"54"	"2007"	"2007"	21994	1834052	11.99203
	"West Virginia"	"54"	"2008"	"2008"	21501	1840310	11.68336
	"West Virginia"	"54"	"2009"	"2009"	21268	1847775	11.51006
	"West Virginia"	"54"	"2010"	"2010"	20470	1852994	11.04699
	"West Virginia"	"54"	"2011"	"2011"	20717	1855364	11.16600
	"West Virginia"	"54"	"2012"	"2012"	20827	1855413	11.22499
	"West Virginia"	"54"	"2013"	"2013"	20825	1854304	11.23063
	"West Virginia"	"54"	"2014"	"2014"	20301	1850326	10.97158
	"West Virginia"	"54"	"2015"	"2015"	19805	1844128	10.73949
	"West Virginia"	"54"	"2016"	"2016"	19079	1831102	10.41941
	"West Virginia"	"54"	"2017"	"2017"	18675	1815857	10.28440
	"West Virginia"	"54"	"2018"	"2018"	18248	1805832	10.10504
	"West Virginia"	"54"	"2019"	"2019"	18136	1792147	10.11971
	"West Virginia"	"54"	"2020"	"2020"	17323	1784787	9.70592
"Total"	"West Virginia"	"54"			279169	25664391	10.87768
	"Wisconsin"	"55"	"2007"	"2007"	72784	5610775	12.97218
	"Wisconsin"	"55"	"2008"	"2008"	72261	5640996	12.80997
	"Wisconsin"	"55"	"2009"	"2009"	70843	5669264	12.49598
	"Wisconsin"	"55"	"2010"	"2010"	68487	5686986	12.04276
	"Wisconsin"	"55"	"2011"	"2011"	67810	5711767	11.87198
	"Wisconsin"	"55"	"2012"	"2012"	67295	5726398	11.75172
	"Wisconsin"	"55"	"2013"	"2013"	66649	5742713	11.60584
	"Wisconsin"	"55"	"2014"	"2014"	67161	5757564	11.66483
	"Wisconsin"	"55"	"2015"	"2015"	67041	5771337	11.61620
	"Wisconsin"	"55"	"2016"	"2016"	66615	5778708	11.52766
	"Wisconsin"	"55"	"2017"	"2017"	64975	5795483	11.21132
	"Wisconsin"	"55"	"2018"	"2018"	64098	5813568	11.02559
	"Wisconsin"	"55"	"2019"	"2019"	63270	5822434	10.86659
	"Wisconsin"	"55"	"2020"	"2020"	60594	5832655	10.38875
"Total"	"Wisconsin"	"55"			939883	80360648	11.69581
	"Wyoming"	"56"	"2007"	"2007"	7893	534876	14.75669
	"Wyoming"	"56"	"2008"	"2008"	8038	546043	14.72045
	"Wyoming"	"56"	"2009"	"2009"	7881	559851	14.07696
	"Wyoming"	"56"	"2010"	"2010"	7556	563626	13.40605
	"Wyoming"	"56"	"2011"	"2011"	7399	568158	13.02279
	"Wyoming"	"56"	"2012"	"2012"	7572	576412	13.13644
	"Wyoming"	"56"	"2013"	"2013"	7644	582658	13.11919
	"Wyoming"	"56"	"2014"	"2014"	7696	584153	13.17463
	"Wyoming"	"56"	"2015"	"2015"	7765	586107	13.24843
	"Wyoming"	"56"	"2016"	"2016"	7386	585501	12.61484
	"Wyoming"	"56"	"2017"	"2017"	6903	579315	11.91580
	"Wyoming"	"56"	"2018"	"2018"	6562	577737	11.35811
	"Wyoming"	"56"	"2019"	"2019"	6565	578759	11.34324
	"Wyoming"	"56"	"2020"	"2020"	6128	582328	10.52328
"Total"	"Wyoming"	"56"			102988	8005524	12.86462
"Total"					55453437	4436490683	12.49939
"---"
"Dataset: Natality, 2007-2020"
"Query Parameters:"
"Group By: State; Year"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"Population Option: Default intercensal populations for years 2007-2009"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/Natality.html for more information."
"---"
"Query Date: Mar 27, 2022 6:36:34 PM"
"---"
"Suggested Citation: United States Department of Health and Human Services (US DHHS), Centers for Disease Control and Prevention"
"(CDC), National Center for Health Statistics (NCHS), Division of Vital Statistics, Natality public-use data 2007-2020, on CDC"
"WONDER Online Database, October 2021. Accessed at http://wonder.cdc.gov/natality-current.html on Mar 27, 2022 6:36:34 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. Birth rates are calculated as the number of births divided by total population in the given year(s). When the numerator is"
"sub-set by mother's race, mother's hispanicity, location, or year of birth, then the same sub-set for age, race, hispanicity,"
"location and year applies to the denominator population."
"3. Birth rates and fertility rates are calculated using the following populations: The populations for year 2019 are from the"
"postcensal single-race series of July 1st estimates of the resident population, released by Census Bureau on June 25, 2020; and"
"the postcensal bridged-race series of July 1st estimates of the resident population, released by NCHS on July 9, 2020. The"
"populations for year 2018 are from the postcensal single-race series of July 1st estimates of the resident population, released"
"by Census Bureau on June 21, 2019; and the postcensal bridged-race series of July 1st estimates of the resident population,"
"released by NCHS on June 27, 2019. The populations for year 2017 are from the postcensal single-race series of July 1st"
"estimates of the resident population, released by Census Bureau on June 21, 2018; and the postcensal bridged-race series of July"
"1st estimates of the resident population, released by NCHS on June 27, 2018. The populations for year 2016 are from the"
"postcensal single-race series of July 1st estimates of the resident population, released by Census Bureau on June 22, 2017; and"
"the postcensal bridged-race series of July 1st estimates of the resident population, released by NCHS on June 26, 2017. The"
"populations for year 2015 are from the postcensal bridged-race series of July 1st estimates of the resident population, released"
"by NCHS on June 28, 2016. The populations for year 2014 are from the postcensal bridged-race series of July 1st estimates of the"
"resident population, released by NCHS on June 30, 2015. The populations for year 2013 are from the postcensal bridged-race"
"series of July 1st estimates of the resident population, released by NCHS on June 26, 2014. The populations for year 2012 are"
"from the postcensal bridged-race series of July 1st estimates of the resident population, released by NCHS on June 13, 2013. The"
"populations for year 2011 are from the postcensal bridged-race series of July 1st estimates of the resident population, released"
"by NCHS on July 18, 2012. The populations for year 2010 are the bridged-race April 1, 2010 Census counts. The populations for"
"years 2007-2009 are from the revised intercensal bridged-race series of July 1st estimates of the resident population, released"
"by NCHS on October 26, 2012. More information: http://wonder.cdc.gov/wonder/help/Natality.html#Denominator-Population-Sources."
